Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:27:53,,
Header Version:,1,,
System Temp hundredths:,3515,,
Detector Temp hundredths:,3617,,
Humidity hundredths:,3785,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1502.027335,0.648899,695967.000000,156203.000000
1505.211277,0.647004,691038.000000,155775.000000
1508.391088,0.643207,686052.000000,156009.000000
1511.566770,0.639833,680877.000000,156040.000000
1514.738321,0.637505,675427.000000,155623.000000
1517.905741,0.634105,670152.000000,155621.000000
1522.122544,0.631827,662097.000000,154559.000000
1525.280327,0.627649,656403.000000,154711.000000
1528.433979,0.626413,650810.000000,153830.000000
1531.583502,0.623481,644842.000000,153452.000000
1534.728894,0.621849,638224.000000,152449.000000
1537.870156,0.618793,631155.000000,151825.000000
1541.007287,0.617056,625001.000000,150947.000000
1544.140289,0.614835,618097.000000,150045.000000
1547.269159,0.614884,610689.000000,148230.000000
1550.393900,0.613967,602954.000000,146662.000000
1554.553796,0.612154,592300.000000,144673.000000
1557.668899,0.612286,584592.000000,142747.000000
1560.779871,0.609968,576368.000000,141492.000000
1563.886714,0.609865,568025.000000,139477.000000
1566.989426,0.609202,559352.000000,137557.000000
1570.088008,0.606717,550305.000000,136109.000000
1573.182459,0.607513,541598.000000,133710.000000
1576.272780,0.605763,532727.000000,132051.000000
1579.358971,0.604006,523890.000000,130387.000000
1583.467467,0.600296,510646.000000,128181.000000
1586.544020,0.598573,501212.000000,126313.000000
1589.616443,0.594856,492392.000000,125157.000000
1592.684736,0.592407,482586.000000,123358.000000
1595.748898,0.588448,472996.000000,122014.000000
1598.808930,0.583814,462978.000000,120711.000000
1601.864832,0.578678,453381.000000,119615.000000
1604.916603,0.575255,443779.000000,118008.000000
1607.964244,0.569486,433789.000000,116894.000000
1612.021341,0.561741,420216.000000,115274.000000
1615.059344,0.555369,409971.000000,114126.000000
1618.093218,0.550813,400631.000000,112702.000000
1621.122961,0.546749,390490.000000,110882.000000
1624.148573,0.540018,380379.000000,109698.000000
1627.170055,0.532907,370204.000000,108526.000000
1630.187407,0.528892,360433.000000,106643.000000
1633.200629,0.526823,350418.000000,104175.000000
1636.209720,0.518742,340597.000000,103157.000000
1639.214681,0.515023,330782.000000,101046.000000
1643.214871,0.511257,317788.000000,97922.000000
1646.210195,0.506735,307687.000000,95802.000000
1649.201388,0.500200,297078.000000,93901.000000
1652.188451,0.496325,287199.000000,91592.000000
1655.171383,0.491039,276866.000000,89378.000000
1658.150185,0.485138,265166.000000,86772.000000
1661.124857,0.476413,252362.000000,84258.000000
1664.095399,0.466496,238503.000000,81470.000000
1667.061810,0.458362,222332.000000,77382.000000
1671.010600,0.434721,197141.000000,72453.000000
1673.967374,0.415780,175847.000000,67508.000000
1676.920017,0.390094,154167.000000,62791.000000
1679.868531,0.366689,132946.000000,57146.000000
1682.812913,0.349097,113053.000000,50604.000000
1685.753166,0.339082,95698.000000,43835.000000
1688.689288,0.328592,80645.000000,37843.000000
1691.621280,0.339679,68011.000000,31110.000000
1694.549141,0.342256,57785.000000,26276.000000
1697.472873,0.361886,49231.000000,21397.000000
1701.364756,0.389053,40194.000000,16410.000000
